fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate,sea_ice_fraction,mean_sea_ice_concentration
111-greenland_sea-100km-2012-06-23,111,greenland_sea,100km,612500.0,712500.0,-1162500.0,-1062500.0,662500.0,-1112500.0,78.08849234046849,-14.225963898751797,2012-06-23,2012-06-24,,
112-greenland_sea-100km-2012-04-04,112,greenland_sea,100km,862500.0,962500.0,-1537500.0,-1437500.0,912500.0,-1487500.0,73.99140668711225,-13.473158112731143,2012-04-04,2012-04-05,,
113-greenland_sea-100km-2014-08-10,113,greenland_sea,100km,612500.0,712500.0,-1087500.0,-987500.0,662500.0,-1037500.0,78.6720275213724,-12.439562018846544,2014-08-10,2014-08-11,,
114-greenland_sea-100km-2022-09-19,114,greenland_sea,100km,587500.0,687500.0,-1012500.0,-912500.0,637500.0,-962500.0,79.37206285945503,-11.481991354748091,2022-09-19,2022-09-20,,
115-greenland_sea-100km-2010-07-28,115,greenland_sea,100km,787500.0,887500.0,-1237500.0,-1137500.0,837500.0,-1187500.0,76.64418678475745,-9.806092759897089,2010-07-28,2010-07-29,,
116-greenland_sea-100km-2006-06-16,116,greenland_sea,100km,537500.0,637500.0,-862500.0,-762500.0,587500.0,-812500.0,80.76347686311696,-9.13017648227869,2006-06-16,2006-06-17,,
117-greenland_sea-100km-2008-09-01,117,greenland_sea,100km,587500.0,687500.0,-887500.0,-787500.0,637500.0,-837500.0,80.30608534729656,-7.72182580013097,2008-09-01,2008-09-02,,
118-greenland_sea-100km-2015-04-30,118,greenland_sea,100km,837500.0,937500.0,-1212500.0,-1112500.0,887500.0,-1162500.0,76.5582575023497,-7.640406761026755,2015-04-30,2015-05-01,,
119-greenland_sea-100km-2022-07-23,119,greenland_sea,100km,762500.0,862500.0,-1012500.0,-912500.0,812500.0,-962500.0,78.41046704435409,-4.830419958289938,2022-07-23,2022-07-24,,
120-greenland_sea-100km-2009-03-09,120,greenland_sea,100km,787500.0,887500.0,-1037500.0,-937500.0,837500.0,-987500.0,78.08849234046849,-4.698680517299437,2009-03-09,2009-03-10,,
