,fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate
54,055-beaufort_sea-100km-2007-04-24,055,beaufort_sea,100km,-2187500.0,-2087500.0,-112500.0,-12500.0,-2137500.0,-62500.0,70.44411551181435,-133.32516200947077,2007-04-24,2007-04-25
55,056-beaufort_sea-100km-2022-05-23,056,beaufort_sea,100km,-2212500.0,-2112500.0,-137500.0,-37500.0,-2162500.0,-87500.0,70.21212906168073,-132.68293761412866,2022-05-23,2022-05-24
56,057-beaufort_sea-100km-2015-04-28,057,beaufort_sea,100km,-2137500.0,-2037500.0,-137500.0,-37500.0,-2087500.0,-87500.0,70.88490616936127,-132.59978553914337,2015-04-28,2015-04-29
57,058-beaufort_sea-100km-2019-08-08,058,beaufort_sea,100km,-1837500.0,-1737500.0,-162500.0,-62500.0,-1787500.0,-112500.0,73.5752989316775,-131.39872188277656,2019-08-08,2019-08-09
58,059-beaufort_sea-100km-2017-05-11,059,beaufort_sea,100km,-2162500.0,-2062500.0,-237500.0,-137500.0,-2112500.0,-187500.0,70.60219619376174,-129.92786712748548,2017-05-11,2017-05-12
59,060-beaufort_sea-100km-2019-03-19,060,beaufort_sea,100km,-2112500.0,-2012500.0,-262500.0,-162500.0,-2062500.0,-212500.0,71.02795656503653,-129.11755440990464,2019-03-19,2019-03-20
60,061-beaufort_sea-100km-2008-06-13,061,beaufort_sea,100km,-1587500.0,-1487500.0,-212500.0,-112500.0,-1537500.0,-162500.0,75.79807564804265,-128.9667469937993,2008-06-13,2008-06-14
61,062-beaufort_sea-100km-2011-06-08,062,beaufort_sea,100km,-2112500.0,-2012500.0,-287500.0,-187500.0,-2062500.0,-237500.0,71.003583622892,-128.43123587817888,2011-06-08,2011-06-09
62,063-beaufort_sea-100km-2007-07-11,063,beaufort_sea,100km,-1612500.0,-1512500.0,-237500.0,-137500.0,-1562500.0,-187500.0,75.54667811712906,-128.15722658736905,2007-07-11,2007-07-12
63,064-bering_chukchi_seas-100km-2007-07-27,064,bering_chukchi_seas,100km,-1937500.0,-1837500.0,1812500.0,1912500.0,-1887500.0,1862500.0,65.87000669388078,-179.61803379527095,2007-07-27,2007-07-28
64,065-bering_chukchi_seas-100km-2008-05-07,065,bering_chukchi_seas,100km,-2287500.0,-2187500.0,2062500.0,2162500.0,-2237500.0,2112500.0,62.13404812631506,-178.35402250243595,2008-05-07,2008-05-08
